date,region_id,region_display,mnemonico,indicador,unidad,eje_espacial,valor,suma_12m
2013-05-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,30.0,
2013-06-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,33.0,
2013-07-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,28.0,
2013-08-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,32.0,
2013-09-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,30.0,
2013-10-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,68.0,
2013-11-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,60.0,
2013-12-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,66.0,
2014-01-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,63.0,
2014-02-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,53.0,
2014-03-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,63.0,
2014-04-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,61.0,587.0
2014-05-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,77.0,634.0
2014-06-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,72.0,673.0
2014-07-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,81.0,726.0
2014-08-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,98.0,792.0
2014-09-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,84.0,846.0
2014-10-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,104.0,882.0
2014-11-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,88.0,910.0
2014-12-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,54.0,898.0
2015-01-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,97.0,932.0
2015-02-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,89.0,968.0
2015-03-01,01,Tarapacá,CEYS,empresas_constituidas,unidades,False,89.0,994.0
