date,region_code,region_name,value,population,gdp_pc,indicator,frequency,unit
2013-01-01,01,Tarapaca,825.61632501692,314818.0,2622519.43985706,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2013-04-01,01,Tarapaca,936.88770215343,314818.0,2975966.1205948517,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2013-07-01,01,Tarapaca,1053.8518326523,314818.0,3347495.482000076,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2013-10-01,01,Tarapaca,1151.0680900508,314818.0,3656296.9399805604,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2014-01-01,01,Tarapaca,983.64213129778,321678.0,3057847.074707565,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2014-04-01,01,Tarapaca,998.89991327286,321678.0,3105278.9226271613,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2014-07-01,01,Tarapaca,957.041823306,321678.0,2975154.7302146866,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2014-10-01,01,Tarapaca,1090.8748533261,321678.0,3391201.3048020075,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2015-01-01,01,Tarapaca,972.57200598717,328417.0,2961393.6123500606,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2015-04-01,01,Tarapaca,1033.1974939292,328417.0,3145992.728540849,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2015-07-01,01,Tarapaca,948.53099051674,328417.0,2888190.899121361,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2015-10-01,01,Tarapaca,1074.8100279685,328417.0,3272699.1232746784,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2016-01-01,01,Tarapaca,945.83338285308,334865.0,2824521.472393592,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2016-04-01,01,Tarapaca,1011.5279928741,334865.0,3020703.8444570205,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2016-07-01,01,Tarapaca,979.96993917975,334865.0,2926462.721334717,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2016-10-01,01,Tarapaca,985.33537938195,334865.0,2942485.4176517404,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2017-01-01,01,Tarapaca,988.66207975891,342129.0,2889734.8069263636,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
2017-04-01,01,Tarapaca,994.71779864357,342129.0,2907434.9109358457,PIB_Real_Regional,Quarterly,Miles_de_millones_pesos_encadenados_2018
