series_code,series_name,region_id,region_name,frequency,chapter,table_name,sector_id,sector_name,region_parse_method
F034.ICNE.POR.BCCH.Z.RI.A,Región de Tarapacá,01,Tarapacá,A,Estadísticas Experimentales,Indicador de creación neta de empresas por región (%),,,roman_numeral
F034.SEVC.POR.BCCH.Z.RI.A,Región de Tarapacá,01,Tarapacá,A,Estadísticas Experimentales,Supervivencia de empresas al quinto año de su creación por región (%),,,roman_numeral
F034.TEAMV.STO.BCCH.Z.RI.A,Región de Tarapacá,01,Tarapacá,A,Estadísticas Experimentales,Número total de empresas ajustado por meses de venta por región,,,roman_numeral
F034.TEMP.STO.BCCH.Z.RI.A,Región de Tarapacá,01,Tarapacá,A,Estadísticas Experimentales,Número total de empresas por región,,,roman_numeral
F035.CPCP.FLU.R.USD.2018.Z.Z.Z.01.0.A,Región de Tarapacá,01,Tarapacá,A,Regionales,"Consumo de hogares e IPSFL por región, precios corrientes, series empalmadas, referencia 2018 (dólares per cápita)",,,f035_positional
F035.CPRIPSFL.FLU.N.CLP.2018.Z.Z.BD.01.0.A,Bienes durables,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.CPRIPSFL.FLU.N.CLP.2018.Z.Z.BND.01.0.A,Bienes no durables,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.CPRIPSFL.FLU.N.CLP.2018.Z.Z.SER.01.0.A,Servicios,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.CPRIPSFL.FLU.N.CLP.2018.Z.Z.Z.01.0.A,Región de Tarapacá,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL por región, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.BD.01.0.A,Bienes durables,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Tarapacá, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.BND.01.0.A,Bienes no durables,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Tarapacá, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.CONT.01.0.A,Consumo de hogares de IPSFL,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Tarapacá, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.SER.01.0.A,Servicios,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Tarapacá, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.Z.01.0.A,Región de Tarapacá,01,Tarapacá,A,Cuentas Nacionales,"Consumo de hogares e IPSFL por región, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.IMB.FLU.R.CLP.1986.13.Z.Z.01.0.A,Menos: Imputaciones Bancarias,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, base 1986 (millones de pesos)",13,Menos: imputaciones bancarias,f035_positional
F035.IMB.FLU.R.CLP.1996.13.Z.Z.01.0.A,Menos: imputaciones bancarias,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, base 1996 ( millones de pesos)",13,Menos: imputaciones bancarias,f035_positional
F035.IMB.FLU.R.CLP.2003.13.Z.Z.01.0.A,Menos: imputaciones bancarias,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá,  base 2003 ( millones de pesos)",13,Menos: imputaciones bancarias,f035_positional
F035.PIB.FLU.N.CLP.2008.01.21.Z.01.0.A,Agropecuario-silvícola,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",01,Agropecuario-silvícola,f035_positional
F035.PIB.FLU.N.CLP.2008.02.04.Z.01.0.A,Pesca,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",02,Pesca,f035_positional
F035.PIB.FLU.N.CLP.2008.03.21.Z.01.0.A,Minería,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",03,Minería,f035_positional
F035.PIB.FLU.N.CLP.2008.04.21.Z.01.0.A,Industria manufacturera,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",04,Industria,f035_positional
F035.PIB.FLU.N.CLP.2008.05.21.Z.01.0.A,"Electricidad, gas, agua y gestión de desechos",01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",05,"Electricidad, gas, agua y gestión de desechos",f035_positional
F035.PIB.FLU.N.CLP.2008.06.21.Z.01.0.A,Construcción,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",06,Construcción,f035_positional
F035.PIB.FLU.N.CLP.2008.07.21.Z.01.0.A,"Comercio, restaurantes y hoteles",01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",07,"Comercio, restaurantes y hoteles",f035_positional
F035.PIB.FLU.N.CLP.2008.08.Z.Z.01.0.A,"Transportes, informacion y comunicaciones",01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",08,"Transporte, información y comunicaciones",f035_positional
F035.PIB.FLU.N.CLP.2008.09.21.Z.01.0.A,Servicios financieros y empresariales,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",09,Servicios financieros y empresariales,f035_positional
F035.PIB.FLU.N.CLP.2008.10.Z.Z.01.0.A,Servicios de vivienda e inmobiliarios,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",10,Servicios de vivienda e inmobiliarios,f035_positional
F035.PIB.FLU.N.CLP.2008.11.Z.Z.01.0.A,Servicios personales,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",11,Servicios personales,f035_positional
F035.PIB.FLU.N.CLP.2008.12.21.Z.01.0.A,Administración pública,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, I Región de Tarapacá, precios corrientes, referencia 2008 (millones de pesos)",12,Administración pública,f035_positional
F035.PIB.FLU.N.CLP.2008.Z.Z.Z.01.0.A,I De Tarapacá,01,Tarapacá,A,Cuentas Nacionales,"Producto interno bruto por región, precios corrientes, referencia 2008 (millones de pesos)",,,f035_positional
F035.PIB.FLU.N.CLP.2013.01.21.Z.01.0.A,Agropecuario-silvícola,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",01,Agropecuario-silvícola,f035_positional
F035.PIB.FLU.N.CLP.2013.02.04.Z.01.0.A,Pesca,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",02,Pesca,f035_positional
F035.PIB.FLU.N.CLP.2013.03.21.Z.01.0.A,Minería,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",03,Minería,f035_positional
F035.PIB.FLU.N.CLP.2013.04.21.Z.01.0.A,Industria manufacturera,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",04,Industria,f035_positional
F035.PIB.FLU.N.CLP.2013.05.21.Z.01.0.A,"Electricidad, gas, agua y gestión de desechos",01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",05,"Electricidad, gas, agua y gestión de desechos",f035_positional
F035.PIB.FLU.N.CLP.2013.06.21.Z.01.0.A,Construcción,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",06,Construcción,f035_positional
F035.PIB.FLU.N.CLP.2013.07.21.Z.01.0.A,"Comercio, restaurantes y hoteles",01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",07,"Comercio, restaurantes y hoteles",f035_positional
F035.PIB.FLU.N.CLP.2013.08.Z.Z.01.0.A,"Transporte, información y comunicaciones",01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",08,"Transporte, información y comunicaciones",f035_positional
F035.PIB.FLU.N.CLP.2013.09.21.Z.01.0.A,Servicios financieros y empresariales,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",09,Servicios financieros y empresariales,f035_positional
F035.PIB.FLU.N.CLP.2013.10.Z.Z.01.0.A,Servicios de vivienda e inmobiliarios,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",10,Servicios de vivienda e inmobiliarios,f035_positional
F035.PIB.FLU.N.CLP.2013.11.Z.Z.01.0.A,Servicios personales,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",11,Servicios personales,f035_positional
F035.PIB.FLU.N.CLP.2013.12.21.Z.01.0.A,Administración pública,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",12,Administración pública,f035_positional
F035.PIB.FLU.N.CLP.2013.Z.Z.Z.01.0.A,Región de Tarapacá,01,Tarapacá,A,Cuentas Nacionales,"Producto interno bruto por región, precios corrientes, series empalmadas, referencia 2013 (miles de millones de pesos)",,,f035_positional
F035.PIB.FLU.N.CLP.2018.01.21.Z.01.0.A,Agropecuario-silvícola,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",01,Agropecuario-silvícola,f035_positional
F035.PIB.FLU.N.CLP.2018.02.04.Z.01.0.A,Pesca,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",02,Pesca,f035_positional
F035.PIB.FLU.N.CLP.2018.03.21.Z.01.0.A,Minería,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",03,Minería,f035_positional
F035.PIB.FLU.N.CLP.2018.04.21.Z.01.0.A,Industria manufacturera,01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",04,Industria,f035_positional
F035.PIB.FLU.N.CLP.2018.05.21.Z.01.0.A,"Electricidad, gas, agua y gestión de desechos",01,Tarapacá,A,Cuentas Nacionales,"PIB por actividad económica, Región de Tarapacá, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",05,"Electricidad, gas, agua y gestión de desechos",f035_positional
