date,region_code,region_name,value,population,gdp_pc,indicator,frequency,unit,year
2013-12-31,01,Tarapaca,5170431.99,310.0,16678812.870967744,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2013
2014-12-31,01,Tarapaca,5183022.11,315.27,16439947.061249092,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2014
2015-12-31,01,Tarapaca,5150235.71,320.62958999999995,16062883.372679362,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2015
2016-12-31,01,Tarapaca,5044580.03,326.0802930299999,15470361.557654424,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2016
2017-12-31,01,Tarapaca,5135464.01,331.62365801150986,15485819.198767057,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2017
2018-12-31,01,Tarapaca,5400000.0,337.2612601977055,16011326.046858963,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2018
2019-12-31,01,Tarapaca,5366281.17,342.99470162106644,15645376.283183983,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2019
2020-12-31,01,Tarapaca,5020923.65,348.8256115486246,14393793.012243047,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2020
2021-12-31,01,Tarapaca,5798149.38,354.7556469449512,16344065.076713834,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2021
2022-12-31,01,Tarapaca,6072740.27,360.7864929430153,16831950.166602172,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2022
2023-12-31,01,Tarapaca,6157395.71,366.9198633230465,16781309.287087727,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2023
2024-12-31,01,Tarapaca,6384837.89,373.1575009995383,17110302.94955239,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2024
2025-12-31,01,Tarapaca,6562600.76,379.5011785165304,17292701.924281757,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2025
2026-12-31,01,Tarapaca,6791282.47,385.95269855131136,17596152.314756047,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2026
2013-12-31,02,Antofagasta,18106888.13,610.0,29683423.163934425,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2013
2014-12-31,02,Antofagasta,18068397.78,619.15,29182585.44779133,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2014
2015-12-31,02,Antofagasta,17661592.75,628.4372499999998,28103987.70919452,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2015
2016-12-31,02,Antofagasta,17174418.24,637.8638087499997,26924898.394307915,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2016
2017-12-31,02,Antofagasta,17519823.35,647.4317658812498,27060493.897998575,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2017
2018-12-31,02,Antofagasta,18360000.0,657.1432423694685,27939114.056471385,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2018
2019-12-31,02,Antofagasta,18511342.31,667.0003910050103,27753120.627272535,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2019
2020-12-31,02,Antofagasta,17115538.24,677.0053968700855,25281243.42749427,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2020
2021-12-31,02,Antofagasta,20041582.72,687.1604778231367,29165796.588724006,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2021
2022-12-31,02,Antofagasta,21218830.03,697.4678849904838,30422662.44314534,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2022
2023-12-31,02,Antofagasta,21353316.02,707.9299032653408,30163037.218102247,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2023
2024-12-31,02,Antofagasta,22208332.84,718.5488518143209,30907199.676019832,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2024
2025-12-31,02,Antofagasta,22986650.53,729.3270845915357,31517615.368519902,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2025
2026-12-31,02,Antofagasta,23692364.61,740.2669908604087,32005161.51944379,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2026
2013-12-31,03,Atacama,7165954.72,290.0,24710188.689655174,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2013
2014-12-31,03,Atacama,7122853.46,293.48,24270319.817364044,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2014
2015-12-31,03,Atacama,7023248.63,297.00176,23647161.65318347,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2015
2016-12-31,03,Atacama,6869521.0,300.56578112,22855299.67650364,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2016
2017-12-31,03,Atacama,6948216.66,304.17257049344,22843008.653700583,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2017
2018-12-31,03,Atacama,7380000.0,307.8226413393613,23974844.630950537,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2018
2019-12-31,03,Atacama,7392526.52,311.5165130354336,23730769.351411987,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2019
2020-12-31,03,Atacama,6874741.9,315.2547111918588,21806944.213487573,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2020
2021-12-31,03,Atacama,8039599.79,319.0377677261612,25199523.703101534,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2021
2022-12-31,03,Atacama,8414551.04,322.8662209388751,26062035.896883246,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2022
2023-12-31,03,Atacama,8448557.67,326.7406155901416,25857078.26601435,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2023
2024-12-31,03,Atacama,8802097.71,330.6615029772233,26619662.799410637,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2024
2025-12-31,03,Atacama,9029200.98,334.62944101294994,26982685.542156395,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2025
2026-12-31,03,Atacama,9322816.41,338.6449943051054,27529762.928078365,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2026
2013-12-31,04,Coquimbo,4842754.96,710.0,6820781.633802817,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2013
2014-12-31,04,Coquimbo,4883996.65,717.81,6804024.254329141,PIB_Real_Regional,Annual,Millones_pesos_encadenados_2018,2014
